Operation,Database,ElapsedUs,EntityType,EntityCount,Scale
GetAllAsync,MongoDB,372504,Result,17750,5
UpdateAsync,PostgreSQL,3192,Athlete,1,5
UpdateAsync,MongoDB,9336,Athlete,1,5
UpdateAsync,PostgreSQL,2942,Event,1,5
UpdateAsync,MongoDB,1659,Event,1,5
UpdateAsync,PostgreSQL,3049,Result,1,5
UpdateAsync,MongoDB,2703,Result,1,5
DeleteAsync,PostgreSQL,2991,Result,1,5
DeleteAsync,MongoDB,7043,Result,1,5
DeleteAsync,PostgreSQL,4293,Athlete,1,5
DeleteAsync,MongoDB,1250,Athlete,1,5
DeleteAsync,PostgreSQL,3805,Event,1,5
DeleteAsync,MongoDB,1346,Event,1,5
DeleteAllAsync,PostgreSQL,15673,Result,17701,5
DeleteAllAsync,MongoDB,128812,Result,17749,5
DeleteAllAsync,PostgreSQL,353552,Athlete,8639,5
DeleteAllAsync,MongoDB,59846,Athlete,8639,5
DeleteAllAsync,PostgreSQL,5414,Event,694,5
DeleteAllAsync,MongoDB,5380,Event,694,5
AddManyAsync,PostgreSQL,169360,Athlete,8640,5
AddManyAsync,MongoDB,169504,Athlete,8640,5
AddManyAsync,PostgreSQL,43946,Event,695,5
AddManyAsync,MongoDB,25256,Event,695,5
AddManyAsync,PostgreSQL,507673,Result,17750,5
AddManyAsync,MongoDB,479150,Result,17750,5
GetByIdAsync,PostgreSQL,13125,Athlete,1,5
GetByIdAsync,MongoDB,39154,Athlete,1,5
GetByIdAsync,PostgreSQL,3451,Event,1,5
GetByIdAsync,MongoDB,4707,Event,1,5
GetByIdAsync,PostgreSQL,3634,Result,1,5
GetByIdAsync,MongoDB,4868,Result,1,5
GetAllAsync,PostgreSQL,19260,Athlete,8640,5
GetAllAsync,MongoDB,55756,Athlete,8640,5
GetAllAsync,PostgreSQL,12104,Event,695,5
GetAllAsync,MongoDB,8241,Event,695,5
GetAllAsync,PostgreSQL,42453,Result,17750,5
GetAllAsync,MongoDB,383137,Result,17750,5
UpdateAsync,PostgreSQL,3510,Athlete,1,5
UpdateAsync,MongoDB,9513,Athlete,1,5
UpdateAsync,PostgreSQL,3099,Event,1,5
UpdateAsync,MongoDB,1581,Event,1,5
UpdateAsync,PostgreSQL,2998,Result,1,5
UpdateAsync,MongoDB,2908,Result,1,5
DeleteAsync,PostgreSQL,3005,Result,1,5
DeleteAsync,MongoDB,6865,Result,1,5
DeleteAsync,PostgreSQL,4255,Athlete,1,5
DeleteAsync,MongoDB,1411,Athlete,1,5
DeleteAsync,PostgreSQL,4273,Event,1,5
DeleteAsync,MongoDB,1157,Event,1,5
DeleteAllAsync,PostgreSQL,15838,Result,17701,5
DeleteAllAsync,MongoDB,126252,Result,17749,5
DeleteAllAsync,PostgreSQL,301037,Athlete,8639,5
DeleteAllAsync,MongoDB,55414,Athlete,8639,5
DeleteAllAsync,PostgreSQL,27245,Event,694,5
DeleteAllAsync,MongoDB,5959,Event,694,5
AddManyAsync,PostgreSQL,172739,Athlete,8640,5
AddManyAsync,MongoDB,161827,Athlete,8640,5
AddManyAsync,PostgreSQL,36656,Event,695,5
AddManyAsync,MongoDB,22216,Event,695,5
AddManyAsync,PostgreSQL,539107,Result,17750,5
AddManyAsync,MongoDB,541780,Result,17750,5
GetByIdAsync,PostgreSQL,12758,Athlete,1,5
GetByIdAsync,MongoDB,38790,Athlete,1,5
GetByIdAsync,PostgreSQL,3511,Event,1,5
GetByIdAsync,MongoDB,4791,Event,1,5
GetByIdAsync,PostgreSQL,3334,Result,1,5
GetByIdAsync,MongoDB,5052,Result,1,5
GetAllAsync,PostgreSQL,26014,Athlete,8640,5
GetAllAsync,MongoDB,60257,Athlete,8640,5
GetAllAsync,PostgreSQL,5690,Event,695,5
GetAllAsync,MongoDB,8683,Event,695,5
GetAllAsync,PostgreSQL,41986,Result,17750,5
GetAllAsync,MongoDB,383901,Result,17750,5
UpdateAsync,PostgreSQL,3520,Athlete,1,5
UpdateAsync,MongoDB,10152,Athlete,1,5
UpdateAsync,PostgreSQL,3169,Event,1,5
UpdateAsync,MongoDB,1647,Event,1,5
UpdateAsync,PostgreSQL,2976,Result,1,5
UpdateAsync,MongoDB,2850,Result,1,5
DeleteAsync,PostgreSQL,2839,Result,1,5
DeleteAsync,MongoDB,6924,Result,1,5
DeleteAsync,PostgreSQL,4288,Athlete,1,5
DeleteAsync,MongoDB,1375,Athlete,1,5
DeleteAsync,PostgreSQL,4153,Event,1,5
DeleteAsync,MongoDB,1207,Event,1,5
DeleteAllAsync,PostgreSQL,15348,Result,17701,5
DeleteAllAsync,MongoDB,125329,Result,17749,5
DeleteAllAsync,PostgreSQL,291545,Athlete,8639,5
DeleteAllAsync,MongoDB,54020,Athlete,8639,5
DeleteAllAsync,PostgreSQL,27525,Event,694,5
DeleteAllAsync,MongoDB,6992,Event,694,5
AddManyAsync,PostgreSQL,180216,Athlete,8640,5
AddManyAsync,MongoDB,175307,Athlete,8640,5
AddManyAsync,PostgreSQL,37552,Event,695,5
AddManyAsync,MongoDB,25025,Event,695,5
AddManyAsync,PostgreSQL,506424,Result,17750,5
AddManyAsync,MongoDB,494724,Result,17750,5
GetByIdAsync,PostgreSQL,12880,Athlete,1,5
GetByIdAsync,MongoDB,41685,Athlete,1,5
GetByIdAsync,PostgreSQL,4336,Event,1,5
GetByIdAsync,MongoDB,4996,Event,1,5
GetByIdAsync,PostgreSQL,4109,Result,1,5
GetByIdAsync,MongoDB,5481,Result,1,5
GetAllAsync,PostgreSQL,24370,Athlete,8640,5
GetAllAsync,MongoDB,77793,Athlete,8640,5
GetAllAsync,PostgreSQL,32178,Event,695,5
GetAllAsync,MongoDB,13680,Event,695,5
GetAllAsync,PostgreSQL,47436,Result,17750,5
GetAllAsync,MongoDB,515592,Result,17750,5
UpdateAsync,PostgreSQL,3332,Athlete,1,5
UpdateAsync,MongoDB,10548,Athlete,1,5
UpdateAsync,PostgreSQL,3251,Event,1,5
UpdateAsync,MongoDB,1695,Event,1,5
UpdateAsync,PostgreSQL,3329,Result,1,5
UpdateAsync,MongoDB,1855,Result,1,5
DeleteAsync,PostgreSQL,3438,Result,1,5
DeleteAsync,MongoDB,9486,Result,1,5
DeleteAsync,PostgreSQL,5171,Athlete,1,5
DeleteAsync,MongoDB,1356,Athlete,1,5
DeleteAsync,PostgreSQL,4431,Event,1,5
DeleteAsync,MongoDB,1701,Event,1,5
DeleteAllAsync,PostgreSQL,18244,Result,17701,5
DeleteAllAsync,MongoDB,137182,Result,17749,5
DeleteAllAsync,PostgreSQL,397053,Athlete,8639,5
